#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","Dialogue Movement Enabler VR",59816,"https://www.nexusmods.com/skyrimspecialedition/mods/59816","2.2.0.0","Dialogue Movement Enabler VR-59816-2-2-0-1654850813.7z"
"+","Essential Favorites VR",59554,"https://www.nexusmods.com/skyrimspecialedition/mods/59554","2.2.0.0","Essential Favorites VR-59554-2-2-0-1643620460.7z"
"+","Even Better Quest Objectives SE",159,"https://www.nexusmods.com/skyrimspecialedition/mods/159","1.10.0.0","Even Better Quest Objectives SE v1.10.0-159-1-10-0-1715908067.7z"
"+","Forget Spell",51125,"https://www.nexusmods.com/skyrimspecialedition/mods/51125","1.2.6.0","Forget Spell-51125-1-2-6-1702301931.7z"
"+","Instant Equip VR",44571,"https://www.nexusmods.com/skyrimspecialedition/mods/44571","1.0.0.0","Instant Equip VR-44571-1-0-0-1611111731.zip"
"+","Keyword Item Distributor",55728,"https://www.nexusmods.com/skyrimspecialedition/mods/55728","3.4.0.0","Keyword Item Distributor-55728-3-4-0-1710234193.7z"
"+","Loading Screen Truce AE",104522,"https://www.nexusmods.com/skyrimspecialedition/mods/104522","f0.01-AE1.1","Loading Screen Truce AE Support-104522-0-01-AE1-1-1704032690.7z"
"+","MCM Helper VR",53000,"https://www.nexusmods.com/skyrimspecialedition/mods/53000","1.5.0.0","MCM Helper-53000-1-5-0-1702843613.7z"
"+","MCM Recorder",61719,"https://www.nexusmods.com/skyrimspecialedition/mods/61719","1.0.7.0","MCM Recorder-61719-1-0-7-1642847171.zip"
"+","MCM Recorder Settings",-1,"","",""
"+","moreHUD VR",33215,"https://www.nexusmods.com/skyrimspecialedition/mods/33215","1.1.0.0","moreHUD VR-33215-1-1-0-1652988637.7z"
"+","moreHUD Inventory Edition VR",59142,"https://www.nexusmods.com/skyrimspecialedition/mods/59142","1.0.18.0","moreHUD Inventory Edition VR-59142-1-0-18-1652997855.7z"
"+","MoreHUD Inventory Patch for SkyUI",43593,"https://www.nexusmods.com/skyrimspecialedition/mods/43593","1.0.0.0","moreHUDInventoryPatch_AdventureTheme-43593-1-0-1608715889.zip"
"+","More Informative Console",19250,"https://www.nexusmods.com/skyrimspecialedition/mods/19250","1.2.1.0","More Informative Console 1.2.1-19250-1-2-1-1719880776.zip"
"+","NPC Clothes Changer and Maintainer SSE",50066,"https://www.nexusmods.com/skyrimspecialedition/mods/50066","1.21.0.0","Outfit Changer SSE-50066-1-21-1629899168.rar"
"+","Scaleform Translation Plus Plus VR",60210,"https://www.nexusmods.com/skyrimspecialedition/mods/60210","1.4.1.0","ScaleformTranslationPP VR-60210-1-4-1-1639722419.7z"
"+","Vanilla Item Descriptions",105970,"https://www.nexusmods.com/skyrimspecialedition/mods/105970","1.1.0.0","Vanilla Item Descriptions-105970-1-1-1701739804.zip"
"+","VR Perk Extender",16330,"https://www.nexusmods.com/skyrimspecialedition/mods/16330","2.0.0.0","SKSEVR Perk Extender-16330-2-0-1577426728.zip"
"+","VR Smooth Dialogue Mesh",107993,"https://www.nexusmods.com/skyrimspecialedition/mods/107993","1.0.0.0","VR Smooth Dialogue Mesh-107993-1-0-0-1703910901.zip"
"+","Whose Quest Is It Anyway",23581,"https://www.nexusmods.com/skyrimspecialedition/mods/23581","1.5.0.0","Whose Quest Is It Anyway-23581-1-5-0-1682374361.zip"
"+","Whose Quest Is It Anyway VR",60211,"https://www.nexusmods.com/skyrimspecialedition/mods/60211","1.3.0.0","WhoseQuestIsItAnyway VR-60211-1-3-0-1639723153.7z"
"-","Fixes and Utilities_separator",-1,"","",""
"+","Alchemy XP Fix VR",118746,"https://www.nexusmods.com/skyrimspecialedition/mods/118746","1.0.0.1","Alchemy XP Fix VR-118746-1-0-0-1-1715061881.7z"
"+","Auto Parallax",79473,"https://www.nexusmods.com/skyrimspecialedition/mods/79473","1.0.27.0","Auto Parallax-79473-1-0-27-1669777275.zip"
"+","Better Resource Warnings",26751,"https://www.nexusmods.com/skyrimspecialedition/mods/26751","2.2.0.0","Better Resource Warnings-26751-2-2-1609018535.7z"
"+","Bound Dagger CTD Fix",45191,"https://www.nexusmods.com/skyrimspecialedition/mods/45191","2.0.0.0","Bound Dagger CTD Fix-45191-2-1630253612.zip"
"+","Combat Music Fix NG",110459,"https://www.nexusmods.com/skyrimspecialedition/mods/110459","1.1.0.0","Combat Music Fix NG-110459-1-1-0-1706653528.7z"
"+","Controller Fix VR",123044,"https://www.nexusmods.com/skyrimspecialedition/mods/123044","1.0.0.0","Controller Fix VR-123044-1-0-1719751236.rar"
"+","Creatures Resized for VR - SE",51551,"https://www.nexusmods.com/skyrimspecialedition/mods/51551","1.0.0.0","Creatures Resized for VR - SE-51551-1-1624436825.7z"
"+","Disable Auto Save and Dynamic Resolution",81502,"https://www.nexusmods.com/skyrimspecialedition/mods/81502","1.0.0.0","Disable Auto Save-81502-1-0-0-1672234920.zip"
"+","Disk Cache Enabler",100975,"https://www.nexusmods.com/skyrimspecialedition/mods/100975","1.0.0.0-Universal","DiskCacheEnabler-Universal-100975-1-0-Universal-1695193100.zip"
"+","Don't Stay in The Water - NPC Water AI Fix",52164,"https://www.nexusmods.com/skyrimspecialedition/mods/52164","R","Don't Stay in The Water - VR-52164-4-1-1626445959.zip"
"+","Dual Casting Fix VR",92804,"https://www.nexusmods.com/skyrimspecialedition/mods/92804","1.0.0.0","Dual Casting Fix-92804-1-0-0-1685844352.7z"
"+","Fixed Bound Sword and Dagger Collision",60064,"https://www.nexusmods.com/skyrimspecialedition/mods/60064","1.0.0.0","Improved Bound Sword and Dagger Collision-60064-1-0-0-1639480565.zip"
"+","Flute Animation Fix",69609,"https://www.nexusmods.com/skyrimspecialedition/mods/69609","1.1.0.0","Flute Animation Fix-69609-1-1-1691766482.zip"
"+","Forgiving Friends",26879,"https://www.nexusmods.com/skyrimspecialedition/mods/26879","1.0.0.0","Forgiving Friends-26879-1-0-1609936829.7z"
"+","Increase Actor Limit for VR",37440,"https://www.nexusmods.com/skyrimspecialedition/mods/37440","1.0.0.0","Increase Actor Limit VR-37440-1-0-1592498127.7z"
"+","Instantly Skip Dialogue NG",89163,"https://www.nexusmods.com/skyrimspecialedition/mods/89163","1.1.1.0","Instantly Skip Dialogue NG-89163-1-1-1-1693399775.zip"
"+","MergeMapper",74689,"https://www.nexusmods.com/skyrimspecialedition/mods/74689","1.5.0.0","MergeMapper-74689-1-5-0-1683883576.7z"
"+","NPC Infinite Block Fix",113064,"https://www.nexusmods.com/skyrimspecialedition/mods/113064","1.0.0.0","NPC Infinite Block Fix - Recommended-113064-1-0-0-1709551729.zip"
"+","OnMagicEffectApply Replacer",67968,"https://www.nexusmods.com/skyrimspecialedition/mods/67968","1.8.2.0","OnMagicEffectApply Replacer Effective-67968-1-8-2-1708954935.zip"
"+","PAPER",73849,"https://www.nexusmods.com/skyrimspecialedition/mods/73849","2.2.4.0","PAPER-73849-2-2-4-1689759531.zip"
"+","Poached Bugs VR",107053,"https://www.nexusmods.com/skyrimspecialedition/mods/107053","0.5.0.0","Poached Bugs VR Core File-107053-0-5-0-1725244654.7z"
"+","Poached Bugs VR - Simonrim Choice Config",107053,"https://www.nexusmods.com/skyrimspecialedition/mods/107053","0.5.0.0","Simonrim Choice Config 0.5.0-107053-0-5-0-1725244698.7z"
"+","PrivateProfileRedirector SE - Faster Game Start",18860,"https://www.nexusmods.com/skyrimspecialedition/mods/18860","0.6.1.0","PrivateProfileRedirector VR 0.6.1 (Runtime 1.4.15)-18860-0-6-1-1718892892.zip"
"+","Recursion Monitor",76867,"https://www.nexusmods.com/skyrimspecialedition/mods/76867","1.2.0.0","Recursion Fix-76867-1-2-1666911818.rar"
"+","Rogue Master Detector",93040,"https://www.nexusmods.com/skyrimspecialedition/mods/93040","1.0.3.0","Rogue Master Detector-93040-1-0-3-1686187500.7z"
"+","Sensible Oculory Solution",130200,"https://www.nexusmods.com/skyrimspecialedition/mods/130200","0.1.1.0","Sensible Oculory Solution - Logical Mzark Puzzle-130200-0-1-1-1727447765.7z"
"+","Sky Reflection Fix",110604,"https://www.nexusmods.com/skyrimspecialedition/mods/110604","1.0.1.0","Sky Reflection Fix-110604-1-0-1-1706805413.zip"
"+","Save Unbaker VR",86265,"https://www.nexusmods.com/skyrimspecialedition/mods/86265","1.0.4.0","Save Unbaker VR-86265-1-0-4-1677920693.7z"
"+","Skyrim Priority SE AE - SKSE Plugin",50129,"https://www.nexusmods.com/skyrimspecialedition/mods/50129","3.4.0.0","Skyrim Priority SE AE-50129-3-4-0-1675213326.zip"
"+","Sonders Keyword Distribution Resources",93995,"https://www.nexusmods.com/skyrimspecialedition/mods/93995","1.7.0.0","Sonders Keyword Distribution Resources-93995-1-7-1724707415.rar"
"+","SSE Fixes",10547,"https://www.nexusmods.com/skyrimspecialedition/mods/10547","3.0.0.0VR.1.4.15","(Skyrim VR) SSE Fixes v3 for Skyrim VR 1.4.15-10547-3VR-1-4-15.7z"
"+","Unaggressive Dragon Priests Fix",69026,"https://www.nexusmods.com/skyrimspecialedition/mods/69026","1.3.1.0","Unaggressive Dragon Priests Fix-69026-1-3-1-1714315952.7z"
"+","WIDeadBodyCleanupScript Crash Fix",62413,"https://www.nexusmods.com/skyrimspecialedition/mods/62413","0.4.0.0","WIDeadBodyCleanupScript Crash Fix-62413-0-4-1721582617.7z"
"+","VR Gameplay_separator",-1,"","",""
"+","VRIK Player Avatar",23416,"https://www.nexusmods.com/skyrimspecialedition/mods/23416","0.8.4.0","VRIK Player Avatar-23416-0-8-4-1726928303.rar"
"+","HIGGS - Hand Interaction and Gravity Gloves for Skyrim VR",43930,"https://www.nexusmods.com/skyrimspecialedition/mods/43930","1.9.3.0","HIGGS 1.9.3-43930-1-9-3-1718852760.zip"
"+","PLANCK - Physical Animation and Character Kinetics",66025,"https://www.nexusmods.com/skyrimspecialedition/mods/66025","0.6.5.0","PLANCK 0.6.5-66025-0-6-5-1718781128.zip"
"+","Be Seated Skyrim VR Edition",16613,"https://www.nexusmods.com/skyrimspecialedition/mods/16613","4.2.5.0","Be Seated 4.2.5-16613-4-2-5-1655673281.zip"
"+","Crouch To Dodge VR - Dodge Naturally",44442,"https://www.nexusmods.com/skyrimspecialedition/mods/44442","1.0.2.0","CrouchToDodgeVR-44442-1-0-2-1627414564.7z"
"+","Dual Wield Block VR",28456,"https://www.nexusmods.com/skyrimspecialedition/mods/28456","1.7.0.0","Dual Wield Block VR 1.7.0-28456-1-7-0-1663724839.zip"
"+","Enhanced Invisibility VR",63889,"https://www.nexusmods.com/skyrimspecialedition/mods/63889","1.2.0.0","Enhanced Invisibility VR-63889-1-2-0-1645342397.7z"
"+","Enhanced Reanimation VR",59512,"https://www.nexusmods.com/skyrimspecialedition/mods/59512","1.5.1.0","Enhanced Reanimation VR-59512-1-5-1-1669711333.7z"
"+","Haptic Skyrim VR - Spellcasting and Enhanced Bow and Melee Haptics",20364,"https://www.nexusmods.com/skyrimspecialedition/mods/20364","1.7.3.0","HapticSkyrimVR - Spellcasting and Enhanced Bow and Melee Feedback SKSE Plugin-20364-1-7-3-1680882790.rar"
"+","Locational Damage SKSE VR",26447,"https://www.nexusmods.com/skyrimspecialedition/mods/26447","0.7.2.0","LocationalDamageSKSE VR 0.7.2-26447-0-7-2-1638129484.zip"
"+","Magic Improvements for Skyrim VR",55751,"https://www.nexusmods.com/skyrimspecialedition/mods/55751","1.0.2.0","MISVR-55751-1-0-2-1632203306.zip"
"+","Magic Sneak Attacks",67613,"https://www.nexusmods.com/skyrimspecialedition/mods/67613","1.3.0.0","Magic Sneak Attacks-67613-1-3-0-1705662156.7z"
"+","Magic Sneak Attacks VR",68028,"https://www.nexusmods.com/skyrimspecialedition/mods/68028","1.3.0.0","Magic Sneak Attacks VR-68028-1-3-0-1707594830.7z"
"+","No Stagger Mod",16335,"https://www.nexusmods.com/skyrimspecialedition/mods/16335","1.0.0.0","NoStaggerMod v 1.0-16335-1-0.7z"
"+","Seamless Arrow Nocking VR",117254,"https://www.nexusmods.com/skyrimspecialedition/mods/117254","1.0.2.0","Seamless Arrow Nocking-117254-1-0-2-1713678217.zip"
"+","Simple Realistic Archery VR",28524,"https://www.nexusmods.com/skyrimspecialedition/mods/28524","1.26.0.0","Simple Realistic Archery VR-28524-1-26-1617578073.7z"
"+","Smooth Carriage Ride VR",129594,"https://www.nexusmods.com/skyrimspecialedition/mods/129594","0.5.0.0","SmoothCarriageRideVR-129594-0-5-1726695759.rar"
"+","Spell Wheel VR",47630,"https://www.nexusmods.com/skyrimspecialedition/mods/47630","1.5.4.0","Spell Wheel VR-47630-1-5-4-1724613698.rar"
"+","To Your Face SE - AE - VR",24720,"https://www.nexusmods.com/skyrimspecialedition/mods/24720","1.0.0.0f","To Your Face VR-24720-1-0f-1554169090.zip"
"+","Weapon Throw VR",31374,"https://www.nexusmods.com/skyrimspecialedition/mods/31374","1.3.19.0","Weapon Throw VR-31374-1-3-19-1716130950.rar"
"+","Audio_separator",-1,"","",""
"+","Music - HQ",18115,"https://www.nexusmods.com/skyrimspecialedition/mods/18115","1.0.0.0","Music - HQ-18115-0-1.7z"
"+","Voices EN - Part 1",18115,"https://www.nexusmods.com/skyrimspecialedition/mods/18115","1.0.0.0","Voices EN - Part 1-18115-0-1.7z"
"+","Voices EN - Part 2",18115,"https://www.nexusmods.com/skyrimspecialedition/mods/18115","1.0.0.0","Voices EN  - Part 2-18115-0-1.7z"
"+","Sound Record Distributor",77815,"https://www.nexusmods.com/skyrimspecialedition/mods/77815","1.5.1.0","Sound Record Distributor-77815-1-5-0-1708473851.zip"
"+","Audio Overhaul for Skyrim (4.1.2)",12466,"https://www.nexusmods.com/skyrimspecialedition/mods/12466","4.1.3.0","Audio Overhaul for Skyrim (4.1.3)-12466-4-1-3-1683940246.7z"
"+","Immersive Sounds - Compendium",523,"https://www.nexusmods.com/skyrimspecialedition/mods/523","3.0.0.0","Immersive Sounds Compendium 3.0-523-3-0-1629219996.zip"
"+","Audio Overhaul - Immersive Sounds Integration",36761,"https://www.nexusmods.com/skyrimspecialedition/mods/36761","1.1.0.0","Audio Overhaul Skyrim - Immersive Sounds Compendium Integration (1.1.0)-36761-1-1-0-1651282424.7z"
"+","Reverb Interior Sounds Expansion",77947,"https://www.nexusmods.com/skyrimspecialedition/mods/77947","1.5.0.0","Reverb Interior Sounds Expansion (1.5.0)-77947-1-5-0-1675142342.7z"
"+","Acoustic Space Improvement Fixes",78992,"https://www.nexusmods.com/skyrimspecialedition/mods/78992","1.2.1.0","Acoustic Space Improvement Fixes (1.2.1)-78992-1-2-1-1680351847.7z"
"+","BA Bard Songs",47202,"https://www.nexusmods.com/skyrimspecialedition/mods/47202","1.3.0.0","BA_BardSongs_FOMOD-47202-1-3-1625966592.7z"
"+","More Painful Death Sounds SE",25702,"https://www.nexusmods.com/skyrimspecialedition/mods/25702","1.9.0.0esl","More Painful Death Sounds ESL-25702-1-9l-1662294940.zip"
"+","Relationship Dialogue Overhaul Lite",42068,"https://www.nexusmods.com/skyrimspecialedition/mods/42068","1.67.0.0SE","Relationship Dialogue Overhaul Lite-42068-1-67SE-1722741118.7z"
"+","Bandit Lines Expansion",63733,"https://www.nexusmods.com/skyrimspecialedition/mods/63733","f1.09","Bandit Lines Expansion-63733-1-09-1704806726.rar"
"+","Brawl Lines Expansion and Fixes",94070,"https://www.nexusmods.com/skyrimspecialedition/mods/94070","f1.02","Brawl Lines Expansion-94070-1-02-1688417773.zip"
"+","Carriages and Stables Dialogue Bundle",79297,"https://www.nexusmods.com/skyrimspecialedition/mods/79297","1.0.0.0","Carriages and Stables Dialogue Bundle-79297-1-0-1669311428.zip"
"+","Civil War Lines Expansion",77566,"https://www.nexusmods.com/skyrimspecialedition/mods/77566","1.1.0.0","Civil War Lines Expansion-77566-1-1-1721690396.zip"
"+","Falmer Servant Lines Expansion",120995,"https://www.nexusmods.com/skyrimspecialedition/mods/120995","1.0.0.0","Falmer Servant Lines Expansion-120995-1-0-1718024266.rar"
"+","Forsworn and Thalmor Lines Expansion",80188,"https://www.nexusmods.com/skyrimspecialedition/mods/80188","f1.02","Forsworn and Thalmor Lines Expansion-80188-1-02-1704809037.rar"
"+","Vampire Lines Expansion",83484,"https://www.nexusmods.com/skyrimspecialedition/mods/83484","f1.02","Vampire Lines Expansion-83484-1-02-1704808705.rar"
"+","Aptrgangr - Draugr Voice Overhaul",114438,"https://www.nexusmods.com/skyrimspecialedition/mods/114438","1.1.0.0","Aptrgangr - Draugr Voices-114438-1-1-1710938570.zip"
"+","Balaur - Dragon Vocal Replacer",98912,"https://www.nexusmods.com/skyrimspecialedition/mods/98912","1.1.0.0","Balaur - Dragon Vocal Replacer-98912-1-1-1696721162.zip"
"+","Bleeding Edge - Bladed Weapons SFX Overhaul",77384,"https://www.nexusmods.com/skyrimspecialedition/mods/77384","1.8.0.0","Bleeding Edge-77384-1-8-1719258920.zip"
"+","Bulwark - Shield Audio Overhaul",76137,"https://www.nexusmods.com/skyrimspecialedition/mods/76137","0.1.0.0a","Bulwark Shield Sounds-76137-0-1alpha-1664185096.zip"
"+","Crone - Hagraven SFX Replacer",105844,"https://www.nexusmods.com/skyrimspecialedition/mods/105844","0.1.0.0","Crone - Hagraven VFX-105844-0-1-1701283999.zip"
"+","Deadeye - Bow and Crossbow SFX",80648,"https://www.nexusmods.com/skyrimspecialedition/mods/80648","1.2.0.0","Deadeye - Bow and Crossbow SFX-80648-1-2-1686701035.zip"
"+","Fallen - Falmer SFX",105854,"https://www.nexusmods.com/skyrimspecialedition/mods/105854","0.1.0.0","Fallen - Falmer SFX-105854-0-1-1701291592.zip"
"+","Grendel - Troll Audio",115955,"https://www.nexusmods.com/skyrimspecialedition/mods/115955","0.1.0.0","Grendel - Troll Audio-115955-0-1-1712341077.zip"
"+","Inmortui - Undead SFX Replacer",94205,"https://www.nexusmods.com/skyrimspecialedition/mods/94205","0.4.0.0","Inmortui - Undead SFX Replacer-94205-0-4-1696405664.zip"
"+","Mastodon - Mammoth SFX Overhaul",113509,"https://www.nexusmods.com/skyrimspecialedition/mods/113509","0.2.0.0","Mastodon - Mammoth Audio-113509-0-2-1710026000.zip"
"+","Riposte - Parry SFX",121997,"https://www.nexusmods.com/skyrimspecialedition/mods/121997","0.3.0.0","Riposte - Parry SFX-121997-0-3-1720901897.zip"
"+","Skoll - Werebeast SFX Overhaul",113050,"https://www.nexusmods.com/skyrimspecialedition/mods/113050","0.1.0.0","Skoll - Werebeast Audio-113050-0-1-1709519308.zip"
"+","Skullbreaker - Blunt Weapons SFX",79219,"https://www.nexusmods.com/skyrimspecialedition/mods/79219","1.1.0.0","Skullbreaker - Blunt Weapon SFX Overhaul-79219-1-1-1702224895.zip"
"+","Sonorum Arcana - The Magic Sound Compendium",119738,"https://www.nexusmods.com/skyrimspecialedition/mods/119738","0.1.0.0","Sonorum Arcana - Magic SFX Compendium-119738-0-1-1716067390.zip"
"+","Ambient Warfare",113118,"https://www.nexusmods.com/skyrimspecialedition/mods/113118","1.1.0.0","Ambient Warfare-113118-1-1-1709741519.7z"
"+","Blackreach Eerie Ambience",112114,"https://www.nexusmods.com/skyrimspecialedition/mods/112114","2.0.0.0","Blackreach Eerie Ambience-112114-2-0-1723653558.7z"
"+","Distant Dragon Roars",112185,"https://www.nexusmods.com/skyrimspecialedition/mods/112185","1.1.0.0","Distant Dragon Roars-112185-1-1-1715471736.7z"
"+","Distant Rolling Thunder",127180,"https://www.nexusmods.com/skyrimspecialedition/mods/127180","1.2.0.0","Distant Rolling Thunder-127180-1-2-1724440474.7z"
"+","Dungeon Sounds Overhaul",66600,"https://www.nexusmods.com/skyrimspecialedition/mods/66600","2.0.0.0","Dungeon Sounds Overhaul-66600-2-0-1709439546.7z"
"+","Murmurs and Mead",114716,"https://www.nexusmods.com/skyrimspecialedition/mods/114716","1.1.0.0","Murmurs and Mead-114716-1-1-1711757412.7z"
"+","Murder of Songbirds",111766,"https://www.nexusmods.com/skyrimspecialedition/mods/111766","1.2.0.0","Murder of Songbirds-111766-1-2-1712634540.7z"
"+","Nordic Winds",112370,"https://www.nexusmods.com/skyrimspecialedition/mods/112370","1.2.0.0","Nordic Winds-112370-1-2-1718150473.7z"
"+","Revenant Spirits of the Soul Cairn",113884,"https://www.nexusmods.com/skyrimspecialedition/mods/113884","1.21.0.0","Revenant Spirits of the Soul Cairn-113884-1-21-1718157588.7z"
"+","Ribbit Remix",115739,"https://www.nexusmods.com/skyrimspecialedition/mods/115739","1.0.0.0","Ribbit Remix-115739-1-1712342281.7z"
"+","The Standing Sound Stones",119471,"https://www.nexusmods.com/skyrimspecialedition/mods/119471","1.2.0.0","The Standing Sound Stones-119471-1-2-1716068143.7z"
"+","The Sounds of Towns and Cities",127561,"https://www.nexusmods.com/skyrimspecialedition/mods/127561","1.1.0.0","The Sounds of Towns and Cities-127561-1-1-1725149932.7z"
"+","Solstheim Exterior Soundscapes",121361,"https://www.nexusmods.com/skyrimspecialedition/mods/121361","1.2.0.0","Solstheim Exterior Soundscapes-121361-1-2-1718498535.7z"
"+","Volkihar Soundscape Overhaul",118891,"https://www.nexusmods.com/skyrimspecialedition/mods/118891","1.1.0.0","Volkihar Soundscape Overhaul-118891-1-1-1715465187.7z"
"+","Whales Off The Coast",111681,"https://www.nexusmods.com/skyrimspecialedition/mods/111681","1.2.0.0","Whales off the Coast-111681-1-2-1716918403.7z"
