#Mod_Status,#Mod_Name,#Nexus_ID,#Mod_Nexus_URL,#Mod_Version,#Download_File_Name
"+","Poached Bugs VR",107053,"https://www.nexusmods.com/skyrimspecialedition/mods/107053","0.6.0.0","Poached Bugs VR Core File-107053-0-6-0-1764126458.7z"
"+","PrivateProfileRedirector SE - Faster game start (INI file cacher)",18860,"https://www.nexusmods.com/skyrimspecialedition/mods/18860","0.6.2.0","PrivateProfileRedirector VR 0.6.2 (Runtime 1.4.15)-18860-0-6-2-1727798816.zip"
"+","Instantly Skip Dialogue NG",89163,"https://www.nexusmods.com/skyrimspecialedition/mods/89163","1.1.1.0","Instantly Skip Dialogue NG-89163-1-1-1-1693399775.zip"
"+","Dual Casting Fix VR",92804,"https://www.nexusmods.com/skyrimspecialedition/mods/92804","1.0.0.0","Dual Casting Fix-92804-1-0-0-1685844352.7z"
"+","remove_slomo_sound",0,"","d2024.3.12.0","C:/Users/Marius/Desktop/remove_slomo_sound.7z"
"+","Dialogue Movement Enabler VR",59816,"https://www.nexusmods.com/skyrimspecialedition/mods/59816","2.2.0.0","Dialogue Movement Enabler VR-59816-2-2-0-1654850813.7z"
"+","Alchemy XP Fix VR",118746,"https://www.nexusmods.com/skyrimspecialedition/mods/118746","1.0.0.1","Alchemy XP Fix VR-118746-1-0-0-1-1715061881.7z"
"+","Unaggressive Dragon Priests Fix",69026,"https://www.nexusmods.com/skyrimspecialedition/mods/69026","1.3.1.0","Unaggressive Dragon Priests Fix-69026-1-3-1-1714315952.7z"
"+","Combat Music Fix NG Updated",110459,"https://www.nexusmods.com/skyrimspecialedition/mods/110459","1.1.0.0","Combat Music Fix NG-110459-1-1-0-1706653528.7z"
"+","Smooth Carriage Ride VR",129594,"https://www.nexusmods.com/skyrimspecialedition/mods/129594","0.5.0.0","SmoothCarriageRideVR-129594-0-5-1726695759.rar"
"+","Horse Mount and Dismount Double Sound Fix",99621,"https://www.nexusmods.com/skyrimspecialedition/mods/99621","1.0.2.0","Horse Mount and Dismount Double Sound Fix-99621-1-0-2-1706717975.7z"
"+","Flayan's Tweaks",137944,"https://www.nexusmods.com/skyrimspecialedition/mods/137944","1.0.0.0","Flayan's Tweaks-137944-1-0-0-1735838834.7z"
"+","VR Console Selection Fix",140752,"https://www.nexusmods.com/skyrimspecialedition/mods/140752","1.2.1.0","Console Selection Fix 1.2.1-140752-1-2-1-1738808478.zip"
"-","Disk Cache Enabler",100975,"https://www.nexusmods.com/skyrimspecialedition/mods/100975","1.2.0.0","DiskCacheEnabler-1.2-100975-1-2-1705561431.zip"
"-","1.7 - Utilities_separator",-1,"","",""
"+","Skyrim VR Tools",27782,"https://www.nexusmods.com/skyrimspecialedition/mods/27782","2.3.0.0-BETA","SkyrimVRTools-27782-2-3-BETA-1590789255.zip"
"+","Skyrim Priority SE AE - CPU Performance FPS Optimizer",50129,"https://www.nexusmods.com/skyrimspecialedition/mods/50129","3.4.0.0","Skyrim Priority SE AE-50129-3-4-0-1675213326.zip"
"+","DllLoader",3619,"https://www.nexusmods.com/skyrimspecialedition/mods/3619","1.0.0.4","DllLoader-3619-1-0-0-4.zip"
"+","JContainers VR",16495,"https://www.nexusmods.com/skyrimspecialedition/mods/16495","4.2.11.0","JContainers VR-16495-4-2-11-1710863450.7z"
